caption,tags,quote,actual_quote,socialContextGPT3,socialContextGPT3logprob
My boss.,"['xs', 'gender']","“No offense, but you’re more of a mother hen than a team leader.”","No offense, but you’re more of a mother hen than a team leader.", Work or business situation,-7.0614164379
"In school from a guy friend of mine, after being the only student in the class to receive 100% on a math test. It made me feel like I was expected to be stupid because of my body.","['xs', 'gender']",“You’re good at math for a girl.”,You’re good at math for a girl., Said to a girl who is not good at math,-10.226192661201601
"Today, a man on the street swerved out of his way to whisper this quietly in my ear as we passed each other.",['xs'],“Cute.”,Cute., Said to someone of the opposite sex that the speaker finds attractive,-8.6135542941
,"['xs', 'religion']","“What do you mean, you don’t celebrate Christmas? It’s for everyone!”","What do you mean, you don’t celebrate Christmas? It’s for everyone!", Probably said to a person who is not Christian,-12.751834265000001
Two high school sophomores chatting loudly on the train ride home. Overheard by a 16 year old.,"['xs', 'race', 'class', 'macro']","“My mom said this neighborhood is going downhill so we might move. There are so many Indians and Black people here now. God, where are they coming from? This place is becoming like a slum.”","My mom said this neighborhood is going downhill so we might move. There are so many Indians and Black people here now. God, where are they coming from? This place is becoming like a slum."," The speaker's neighborhood is changing because of an influx of people of color, and the speaker doesn't like it.",-5.831705056834001
age: 16,"['xs', 'ethnicity', 'race']","“OH, THAT’S WHY YOU DON’T HAVE AN ACCENT: YOU’RE PART WHITE.”","OH, THAT’S WHY YOU DON’T HAVE AN ACCENT: YOU’RE PART WHITE."," speaker is white, talking to a person of color",-11.419518866769998
"A male colleague, when I tell him his co-worker has not yet faxed me the memo I requested. (via microaggressions)","['gender', 'xs', 'sexism', 'reblog']",“Why don’t you fax him a picture of yourself? I’m sure he’ll get that memo to you faster.”,Why don’t you fax him a picture of yourself? I’m sure he’ll get that memo to you faster., work or business situation,-4.7815717164
"My white friend to me, a half black person who could pass as white.","['class', 'xs']","“There’s African Americans and then there’s black people. There’s a difference. Like, Oprah is an African American, but some random black guy off the street doesn’t deserve the title, you know?”","There’s African Americans and then there’s black people. There’s a difference. Like, Oprah is an African American, but some random black guy off the street doesn’t deserve the title, you know?", Two non-Black people in conversation about Black people,-9.84166772782984
,"['gender', 'xs']","“That skirt is too short. I don’t care what you think about yourself, but imagine what the BOYS will think about you. You don’t want them to think those kinds of things, do you!?”","That skirt is too short. I don’t care what you think about yourself, but imagine what the BOYS will think about you. You don’t want them to think those kinds of things, do you!?", most likely a parent talking to their daughter,-15.770677206426
"Pre-teen girl says to her friend within my earshot, as I (a butch/genderqueer lesbian in board shorts) walk by at the beach. At the beach, June 2011. Made me feel ugly, invisible, angry.","['xs', 'sexuality', 'gender']",“That’s why I’m not a lesbian.”,That’s why I’m not a lesbian., probably a straight person saying this to a lesbian person,-10.73455623049308
where: overheard in class (via microaggressions)(via microaggressions),"['xs', 'trans*']",“Is THAT a girl or a boy?”,Is THAT a girl or a boy?, speaker is looking at someone who they think is transgender,-9.162626755348711
"Woman standing in front of me at the grocery store, on why she didn’t think Dominique Strauss-Kahn raped the woman he is accused of raping. Made me feel like lower class women are always seen as liars, golddiggers, prostitutes.","['xs', 'class', 'gender']","“I mean, he’s so rich and powerful, why would he even risk having sex with a *maid*?”","I mean, he’s so rich and powerful, why would he even risk having sex with a *maid*?", Wealthy person speaking about a domestic worker,-10.52167959812271
Friend’s Facebook status.,"['race', 'xs']","“There are scholarships available solely for black men, black women, only women, Hispanic men and women…but if there was a scholarship that only a white man could apply for, I bet it would cause an uproar. Just sayin’. Is this fair in today’s day and age? What did my generation do to oppress any specific group of people? Isn’t it time for equality across the board?”","There are scholarships available solely for black men, black women, only women, Hispanic men and women…but if there was a scholarship that only a white man could apply for, I bet it would cause an uproar. Just sayin’. Is this fair in today’s day and age? What did my generation do to oppress any specific group of people? Isn’t it time for equality across the board?", A white person speaking to a group of people about race and scholarships,-13.0132739855
Classmate in my 4th year of college.,"['xs', 'race']","“Oh, you are Native American? You don’t look native, are you sure?”","Oh, you are Native American? You don’t look native, are you sure?", Conversation with a Native American person,-6.586698337
