ID,class,post,implicit_class,extra_implicit_class,target,implied_statement,post_og,socialContextGPT3,socialContextGPT3logprob
707397574697852928,implicit_hate,kkk alive and well white brother hood unite ku klux klan,incitement,,Minorities,Minorities are substandard races.,kkk alive and well white brother hood unite ku klux klan, news headline in 2020,-5.4219618159000005
364831914311421954,not_hate,over the rainbow : alabama in recent years  the league of the south has shed the albatross of its fair weather ...,,,,,over the rainbow : alabama in recent years  the league of the south has shed the albatross of its fair weather ..., a white supremacist group is talking about how they are no longer associated with the KKK,-13.572891051064362
552644383863214080,implicit_hate,so black pride is fine  but white pride is racist ... riiiiiiight .,white_grievance,,white people,White people are racist.,so black pride is fine  but white pride is racist ... riiiiiiight ., Two non-white people in a conversation,-8.95614899563647
900390031243841537,implicit_hate,the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu,stereotypical,,Muslims,Muslims are dangerous.,the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu, online forum,-7.129415250099999
631083208680075265,explicit_hate,breivik says zionism / anti-islam was a ruse to prolong the debate & attack #cuckservatives #vdare,,,,,breivik says zionism / anti-islam was a ruse to prolong the debate & attack #cuckservatives #vdare, on twitter,-8.57808532107817
945855790736318466,not_hate,"i'm singing  "" white christmas "" "" """,,,,," i'm singing  "" white christmas "" "" """, Christmas,-14.658590583
740046312410910720,not_hate,hundreds of reasons why #raghuramrajan must go immediately pl . warn americans not to meddle,,,,,hundreds of reasons why #raghuramrajan must go immediately pl . warn americans not to meddle,,-11.54844624
699368174840635392,not_hate,important question : are rubio and cruz opposed to birth control ?,,,,,important question : are rubio and cruz opposed to birth control ?, Political,-8.159552120219839
915313096134033408,not_hate,seriously  how do people not yet realize that kessler is both a total government plant  a,,,,,seriously  how do people not yet realize that kessler is both a total government plant  a,,-4.027712547886
832467453133230081,implicit_hate,they are not the future . ( ( ( paul krugman ) ) ) gloats over demise of white america,white_grievance,,Jews,Jews want the white race to fall,they are not the future . ( ( ( paul krugman ) ) ) gloats over demise of white america, news headline in 2020,-7.62036833451
156955850785832960,implicit_hate,white #genocide - #whitepeople #whitepride #racism,white_grievance,,white people,White people are racist.,white #genocide - #whitepeople #whitepride #racism, A white person on social media posting about white genocide,-10.83001911728164
796503919841214468,implicit_hate,whites are finally beginning to vote like other races--in their own interests .,white_grievance,,Minorities,Minorities are self-serving.,whites are finally beginning to vote like other races--in their own interests ., a person of color making this statement to a white person,-10.2375300420838
540558059257757696,implicit_hate,"kkklanneed to report illegals contact ice 1-866-dhs-2-ice""""#funnyasshell",irony,,Immigrants,Immigrants should be deported,": kkklanneed to report illegals contact ice 1-866-dhs-2-ice""""#funnyasshell", a tweet,-7.915392892884
