acl.id,X1,text,label,type,target,level,split,round.base,annotator,round,acl.id.matched,hasTarget,socialContextGPT3,socialContextGPT3logprob
acl26416,18243,I reckon I've reached the point where I despise the asylum seekers begging to be accepted as much as I dislike the immigrant psychopaths in power. Fuck them and fuck their sedated normalcy. It's time for western civilization to confront some serious life shattering hardships.,hate,derogation,"immig, asylum",perturbation,train,3,GNZuCtwed3,3b,acl26415,yes, The speaker is probably white and is fed up with the current state of things.,-12.5337121822148
acl3291,25458,"if you think smart, Sikhs are the real problem to religion",hate,notgiven,notgiven,original,train,1,LqLKTtrOmx,1,,notgiven," conversation between two people, where one is Sikh",-13.655099417450002
acl5981,36792,I am not racist but it is scientifically proven that whites are superior,hate,notgiven,notgiven,original,train,1,TrRF46JWfP,1,,notgiven, Conversation with a white person who believes in white supremacy,-8.78119975104984
acl33563,26184,Yes I've gone into this a few times. You can't rule Pakistanis with a republic. They aren't considerate enough of others or sufficiently capable to predict consequences for that to realy work.,hate,derogation,asi.south,original,train,4,E3dsmnSPob,4a,acl39447,yes, A Pakistani person is talking to a white person about how white people shouldn't rule over Pakistanis,-17.3688045778
acl5388,36133,"Someone told me ""I'd rather cut myself than being a woman, women are all bitches and cunts"". I can't believe someone would think like that!",nothate,none,none,original,train,1,oemYWm1Tjg,1,,none, Likely a woman talking to another woman about misogyny,-8.95404446517984
acl421,34825,I hate the idea of killing all black people,nothate,none,none,original,train,1,GNZuCtwed3,1,,none, Probably said by a white person to another white person,-11.9359262362903
acl12904,3230,I heard them saying 'I hate fucking faggots' as they beat a kid up. It was horrible,nothate,none,none,original,train,2,CAgNlUizNm,2a,acl12905,none, Likely two people of the same sex talking about an incident of homophobic violence,-10.16158402057
acl6570,37447,No one speaks english in this country any more.. it's all full of migrants,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,,notgiven, Probably an older person complaining about how immigrants are ruining their country,-9.993275703
acl17619,8468,There's a recreational club in my borough but only 5% of the regular attendants are black people so I don't feel comfortable going in as a black person myself,nothate,none,none,original,train,2,TbUBpfn6iP,2a,acl17620,none, The speaker is probably black and is talking about a club that is not predominantly black,-13.352331842576081
acl33512,26128,"GSLEN ambition is to posion the minds of the young, and us outraged americans won't take it anymore!",hate,derogation,"trans, gay",original,train,4,cYKSVBW4HD,4a,acl33513,yes,,-3.7827036027682
